repo,commit_hash,files_changed,lines_added,lines_deleted,total_changes
django,08a0b923298fd2489871cd88254d11f8246b8c93,2,10,1,11
django,4cecf3039586ea738afafb9a28c946bff42c37c1,3,116,26,142
django,b25bc2441827a31b5629e9f79ad7296b992648a2,1,12,0,12
django,f87c2055b45356378a7c2a020eb872352d20f85e,1,2,0,2
django,117ff1d37d63cdfa0982eba6b636bf8f59d99a3c,1,3,2,5
django,ba9637901113deb9ae808b2ba1798c18dc85a915,4,13,9,22
django,fe189dc43ab3eddbbceefb6834893b73ca60d5ed,4,23,2,25
django,2831eaed797627e6e6410b06f74dadeb63316e09,3,27,3,30
django,e61a54d306ec069826b53bfec0b56d9ab3199257,1,1,1,2
django,83622b824b7014977dfc7086bbc2628ea53f4cd0,4,69,17,86
django,5d5f95da40afbaede9f483de891c14f5da0e8218,1,1,6,7
django,b30e09a94270fdaa4bf282bf442b758c9a6d0bb0,4,18,9,27
django,2e83eb5e78e8036141ae5b810fba4fd9e800f51f,2,5,4,9
django,229d026207dddd5b184e9569f104d315f1c79c81,1,12,2,14
django,e92d1e3b7858981185e93d717c5727544d66b66e,4,27,3,30
django,c3c9f1908e62eea528377e3788e78594a8361189,7,19,22,41
django,68d110f1fe593b7a368486c41cd062563a74fe0a,1,1,1,2
django,2351c1b12cc9cf82d642f769c774bc3ea0cc4006,1,0,1,1
django,b1ffa9a9d78b0c2c5ad6ed5a1d84e380d5cfd010,15,487,25,512
django,3851601b2e080df34fb9227fe5d2fd43af604263,1,1,1,2
django,e083c62f51f408aaacbf55684daf83c78d0d1bc1,2,23,1,24
django,e5cbb8b4be04797deedc775a5143b5035e7dd3b7,2,99,0,99
django,748c2ba8370c66b098bd78b241c70d16712d1e93,5,130,14,144
django,59fcd2a1990775d9e893a44a45222d8a54112570,1,4,3,7
django,d6cca8b904de144946453aea93dd627c09abfca9,2,12,17,29
django,25416413470d8e6630528626ee8b033d2d77ff46,14,15,15,30
django,899eee3883bfdfeb4ea3ac7f6b3b4588b728e6dc,1,1,0,1
django,6cff02078799b7c683a0d39630d49ab4fe532e7c,47,171,341,512
django,0d31ca98830542088299d2078402891d08cc3a65,1,1,1,2
django,0239e86f387127dace7273208c300b33a065e021,2,22,4,26
django,a77e541d1d8766b0e7d2c4143076ef07973f5bd9,1,11,11,22
django,211b63142786ea77953de4f2850961e259c5b335,2,20,0,20
django,b98075dc6205374746cf1ad6d3533b9a1d9cf22e,7,72,95,167
django,07a16407452f5b62594661ae7ae589eca8cccd4d,5,16,5,21
django,a876ada18b622926db5c7a9f3ec6ee20df223818,4,4,4,8
django,924156072ecf61ef9cf50fa0d4d553a4c0d416c2,1,6,0,6
django,4ce4ed72a4ddc7d101df0fd31f1d0e449d8af501,3,15,3,18
django,6a596373d464d1d8e9014d952286ab5f6d2a9983,2,35,18,53
django,040bb3eba72eb45020dd025d3f83094a0fcaf22f,2,26,14,40
django,73c5e94521c5b97e27cd2fe2d5b5c2e65f402755,7,60,60,120
django,a25158f5cc590f3dff4226c3a48257481e6e67a6,2,6,10,16
django,1a70889d5837982a111bca0280ea6ca782c6de6b,1,3,3,6
django,2b192bff26cf956c168790fce6a637cbd814250b,1,3,3,6
django,21ceaf2fd75bb994b7a0e3b691171d6b34ffc913,3,7,19,26
django,64ac4385c75b12a4065055b3d8d60bd5e0e61f04,2,5,5,10
django,eeea8d2cba41229b10226d8b9be184f0b015e95c,2,29,1,30
django,d61838761f17d7c934c7be288fadfa14f471b598,4,115,7,122
django,8a0315fab74d603813b2a64ab98d5a208a2eb6d1,7,29,21,50
django,1d15c732bb9dde0fca8bd662a475bb51d0ab2756,1,5,0,5
django,0a983330cd57dd2bb1dfa91a5a3ed742559eebe6,2,2,2,4
django,9247410b4ba3b1f855567b8d84422d36345c690a,1,7,3,10
django,f3b982f21f098958e1e018044df00e93cdb40bd1,1,1,1,2
django,459a3d17b973df23fc45328d4e976a270f0edd7f,2,21,1,22
django,091ffc4e5eb35776864b853973097588a36f169e,2,16,5,21
django,2be860d6cfb04c9b3643f7c31ce90df280c8e747,2,4,3,7
